AREA,PERIMETER,HISTLU_CPE,HISTLU_C_1,POT_LU,LU1885,LU1912,LU1945,LU1977,LU2004,DIST
152165.937999999994645,1844.148999999999887,544.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
3376822.250000000000000,14325.072000000000116,545.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
21662464.000000000000000,32354.824000000000524,546.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
122594.258000000001630,1866.503999999999905,547.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
391606.313000000023749,2594.885999999999967,548.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
233954.875000000000000,2032.695999999999913,549.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
150895.078000000008615,2740.800999999999931,550.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
810081.500000000000000,4587.350000000000364,551.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
366730000.000000000000000,504001.625000000000000,2.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Grassland,0.000000000000000
324050.063000000023749,7209.028000000000247,552.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
165856.937999999994645,1818.744999999999891,553.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
157105.062999999994645,2253.768999999999778,554.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
640030.125000000000000,3463.027000000000044,555.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Grassland,0.000000000000000
110166.789000000004307,1531.445999999999913,556.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Urban,2.000000000000000
507070.343999999982771,2830.824999999999818,557.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
276307.688000000023749,2838.429999999999836,558.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
213256.187999999994645,3194.994000000000142,559.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Urban,2.000000000000000
462861.781000000017229,3348.344999999999800,560.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
1152582.250000000000000,9063.207000000000335,561.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
154916.578000000008615,2704.572999999999865,562.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
1020778.937999999965541,6332.807999999999993,563.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Grassland,3.000000000000000
444439.625000000000000,3660.264999999999873,564.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
473100.063000000023749,6747.807999999999993,565.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
1993860.250000000000000,7365.327000000000226,566.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
154380.937999999994645,2370.860999999999876,567.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
394517.156000000017229,2416.512000000000171,568.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
244654.108999999996740,2787.983999999999924,569.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
186261.296999999991385,1948.931000000000040,570.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
426566.938000000023749,9070.105999999999767,571.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,Wetlands,3.000000000000000
129369.179999999993015,2099.315999999999804,572.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
627142.437999999965541,3181.356000000000222,573.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Urban,2.000000000000000
555196.125000000000000,5104.564000000000306,574.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
141220000.000000000000000,218130.671999999991385,575.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
421162.438000000023749,3854.376999999999953,576.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
106174.577999999994063,1450.679000000000087,577.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
572858.687999999965541,3594.610999999999876,578.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
7751699.000000000000000,26491.546999999998661,579.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
179094.358999999996740,2089.112000000000080,580.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
148677.030999999988126,4758.661000000000058,581.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
253499.375000000000000,2154.286000000000058,582.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Grassland,2.000000000000000
345506.500000000000000,2728.849999999999909,583.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
276359.688000000023749,4145.594000000000051,584.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
134169.203000000008615,1643.020999999999958,585.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Urban,2.000000000000000
1086159.875000000000000,8452.304000000000087,586.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
254146.750000000000000,2287.768999999999778,587.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
852170.625000000000000,7021.243999999999687,588.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
136442.391000000003260,1890.708000000000084,589.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Urban,1.000000000000000
149730.594000000011874,1680.800999999999931,590.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
1261007.000000000000000,6357.438000000000102,591.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Grassland,0.000000000000000
417050.188000000023749,2832.547000000000025,592.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Irrigated,3.000000000000000
1374616.250000000000000,7504.371000000000095,593.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
190679.125000000000000,3038.990999999999985,594.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
318944.875000000000000,3510.295999999999822,595.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
300030.343999999982771,2445.253000000000156,596.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
163891.530999999988126,2130.704999999999927,597.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Irrigated,3.000000000000000
944063.375000000000000,4648.578999999999724,598.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
117509.429999999993015,6505.837999999999738,599.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Urban,2.000000000000000
121965.304999999993015,3042.521000000000186,600.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
3709909.250000000000000,11958.019000000000233,601.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
740064.500000000000000,4776.829999999999927,602.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Irrigated,2.000000000000000
190917.796999999991385,1778.615000000000009,603.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Irrigated,2.000000000000000
307844.593999999982771,2417.485000000000127,604.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Grassland,0.000000000000000
1237066.000000000000000,7465.020999999999731,605.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
908474.625000000000000,8087.587000000000444,606.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Irrigated,Grassland,1.000000000000000
125235.648000000001048,1441.266000000000076,607.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
1535666.125000000000000,9739.617000000000189,608.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Grassland,1.000000000000000
125459.577999999994063,1389.810999999999922,609.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
114678.414000000004307,1464.708000000000084,610.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Urban,Urban,3.000000000000000
3839511.000000000000000,8733.807000000000698,611.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
307940.563000000023749,2333.003999999999905,612.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
138601.141000000003260,3496.090999999999894,613.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Grassland,Urban,2.000000000000000
130789.422000000005937,1882.210000000000036,614.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
580973.562999999965541,3678.143999999999778,615.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
552913.625000000000000,4037.737999999999829,616.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Irrigated,Irrigated,4.000000000000000
182546.953000000008615,1844.583000000000084,617.000000000000000,0.000000000000000,Wetlands,Wetlands,Irrigated,Irrigated,Wetlands,Wetlands,2.000000000000000
1039367.000000000000000,8034.203999999999724,618.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Grassland,Grassland,2.000000000000000
222635.546999999991385,3980.001999999999953,619.000000000000000,0.000000000000000,Grassland,Grassland,Irrigated,Irrigated,Grassland,Irrigated,3.000000000000000
248998.766000000003260,6172.661000000000058,620.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Irrigated,Irrigated,Urban,3.000000000000000
138389.921999999991385,2861.373000000000047,621.000000000000000,0.000000000000000,Grassland,Grassland,Grassland,Grassland,Grassland,Irrigated,1.000000000000000
