AREA,LU1885,LU1945,POT_LU,Shape__Area,Shape__Length
51825124.000000000000000,Wetlands,Irrigated,Wetlands,83257382.750000000000000,42027.343795765060349
14043958.000000000000000,Grassland,Irrigated,Grassland,22536702.687500000000000,168640.043655226007104
254446.625000000000000,Grassland,Grassland,Grassland,409112.917968750000000,3885.924041419168134
101483.883000000001630,Grassland,Grassland,Grassland,163220.886718750000000,2812.758731002032619
434418.813000000023749,Wetlands,Irrigated,Wetlands,698036.796875000000000,18433.521227702389297
5093301.000000000000000,Wetlands,Irrigated,Wetlands,8178278.820312500000000,106122.678656297299312
317137.250000000000000,Grassland,Grassland,Grassland,509877.359375000000000,4471.713638505215386
129150.648000000001048,Wetlands,Irrigated,Wetlands,207685.121093750000000,2009.442799288384094
297101.250000000000000,Grassland,Irrigated,Grassland,477737.578125000000000,4920.586681712301470
152165.937999999994645,Grassland,Irrigated,Grassland,244693.707031250000000,2338.557894123183814
3376822.250000000000000,Grassland,Grassland,Grassland,5429248.335937500000000,18164.147086589338869
21662464.000000000000000,Grassland,Irrigated,Grassland,34805488.167968750000000,41018.111298887582961
122594.258000000001630,Grassland,Grassland,Grassland,197142.527343750000000,2366.926587340514743
391606.313000000023749,Grassland,Grassland,Grassland,629609.320312500000000,3290.770959172664789
233954.875000000000000,Grassland,Irrigated,Grassland,376218.972656250000000,2577.331758981323219
150895.078000000008615,Grassland,Grassland,Grassland,242648.027343750000000,3475.396154784651117
810081.500000000000000,Grassland,Grassland,Grassland,1302669.785156250000000,5816.565884649140571
324050.063000000023749,Grassland,Grassland,Grassland,521076.617187500000000,9140.522405511319448
165856.937999999994645,Grassland,Irrigated,Grassland,266667.902343750000000,2305.962115208952127
157105.062999999994645,Grassland,Irrigated,Grassland,252620.730468750000000,2856.836016208801539
640030.125000000000000,Grassland,Grassland,Grassland,1029133.183593750000000,4391.746355451362433
110166.789000000004307,Grassland,Grassland,Grassland,177155.917968750000000,1941.759801147843291
507070.343999999982771,Grassland,Grassland,Grassland,815361.878906250000000,3589.433366695745462
276307.688000000023749,Grassland,Irrigated,Grassland,444248.871093750000000,3598.880583391452092
213256.187999999994645,Grassland,Grassland,Grassland,342876.585937500000000,4050.994663561291418
462861.781000000017229,Grassland,Grassland,Grassland,744238.621093750000000,4244.659295242246117
1152582.250000000000000,Grassland,Irrigated,Grassland,1852664.453125000000000,11491.399534512032915
154916.578000000008615,Grassland,Irrigated,Grassland,249076.148437500000000,3429.202365581617869
1020778.937999999965541,Grassland,Irrigated,Grassland,1640727.285156250000000,8030.929461590182655
444439.625000000000000,Grassland,Irrigated,Grassland,714535.203125000000000,4641.285894608418857
473100.063000000023749,Grassland,Irrigated,Grassland,760443.453125000000000,8557.028016615460729
1993860.250000000000000,Grassland,Grassland,Grassland,3204776.281250000000000,9340.959786994260867
154380.937999999994645,Grassland,Irrigated,Grassland,248177.359375000000000,3005.265751924771394
394517.156000000017229,Grassland,Grassland,Grassland,634168.265625000000000,3063.556938543371416
244654.108999999996740,Grassland,Irrigated,Grassland,393319.750000000000000,3535.093399749454875
186261.296999999991385,Grassland,Grassland,Grassland,299472.691406250000000,2471.939820494950709
426566.938000000023749,Wetlands,Irrigated,Wetlands,685443.484375000000000,11501.161191942037476
129369.179999999993015,Grassland,Irrigated,Grassland,207947.031250000000000,2661.409361452620033
627142.437999999965541,Grassland,Grassland,Grassland,1008171.644531250000000,4033.652376758299397
555196.125000000000000,Grassland,Irrigated,Grassland,892343.929687500000000,6473.246379727801468
141220000.000000000000000,Grassland,Irrigated,Grassland,226559705.933593750000000,276269.022089993464760
421162.438000000023749,Grassland,Irrigated,Grassland,676929.593750000000000,4885.966208214917060
106174.577999999994063,Grassland,Irrigated,Grassland,170657.773437500000000,1839.317852185928359
572858.687999999965541,Grassland,Grassland,Grassland,920926.148437500000000,4557.585981130701839
7751699.000000000000000,Grassland,Grassland,Grassland,12456763.277343750000000,33580.709368699928746
179094.358999999996740,Grassland,Irrigated,Grassland,287886.656250000000000,2648.976309225255591
148677.030999999988126,Grassland,Grassland,Grassland,238976.671875000000000,6033.500625775141089
253499.375000000000000,Grassland,Irrigated,Grassland,407488.644531250000000,2731.145506205200491
345506.500000000000000,Grassland,Grassland,Grassland,555294.679687500000000,3459.065277645380775
276359.688000000023749,Grassland,Grassland,Grassland,444235.617187500000000,5256.305328138543700
134169.203000000008615,Grassland,Grassland,Grassland,215681.183593750000000,2083.169954154721836
1086159.875000000000000,Grassland,Grassland,Grassland,1745398.875000000000000,10713.080440209669177
254146.750000000000000,Grassland,Grassland,Grassland,408549.933593750000000,2900.824219012358753
852170.625000000000000,Grassland,Irrigated,Grassland,1369346.511718750000000,8899.923501429075259
136442.391000000003260,Grassland,Grassland,Grassland,219280.394531250000000,2396.782564894115239
149730.594000000011874,Grassland,Irrigated,Grassland,240663.320312500000000,2131.297502792958767
1261007.000000000000000,Grassland,Grassland,Grassland,2026818.808593750000000,8060.608504471834749
417050.188000000023749,Grassland,Irrigated,Grassland,670310.480468750000000,3590.905740726659133
1374616.250000000000000,Grassland,Irrigated,Grassland,2208492.109375000000000,9514.698122961282934
190679.125000000000000,Grassland,Grassland,Grassland,306494.496093750000000,3851.999400635094844
318944.875000000000000,Grassland,Irrigated,Grassland,512591.394531250000000,4450.042742771904159
300030.343999999982771,Grassland,Grassland,Grassland,482236.042968750000000,3100.728989394081054
